event_id,source_event_name,display_name,series,source_system,event_type,date,year,month,total_players
online-challenge-2025-12-18,MTGO Challenge (2025-12-18),Challenge,Challenge,mtgo,online,2025-12-18,2025,12,51
online-challenge-2025-12-14,MTGO Challenge (2025-12-14),Challenge,Challenge,mtgo,online,2025-12-14,2025,12,64
online-challenge-2025-12-13,MTGO Challenge (2025-12-13),Challenge,Challenge,mtgo,online,2025-12-13,2025,12,50
online-challenge-2025-12-12,MTGO Challenge (2025-12-12),Challenge,Challenge,mtgo,online,2025-12-12,2025,12,61
online-challenge-2025-12-11,MTGO Challenge (2025-12-11),Challenge,Challenge,mtgo,online,2025-12-11,2025,12,51
online-challenge-2025-12-07,MTGO Challenge (2025-12-07),Challenge,Challenge,mtgo,online,2025-12-07,2025,12,74
online-challenge-2025-12-06,MTGO Challenge (2025-12-06),Challenge,Challenge,mtgo,online,2025-12-06,2025,12,51
online-challenge-2025-12-05,MTGO Challenge (2025-12-05),Challenge,Challenge,mtgo,online,2025-12-05,2025,12,47
online-challenge-2025-12-04,MTGO Challenge (2025-12-04),Challenge,Challenge,mtgo,online,2025-12-04,2025,12,42
online-challenge-2025-11-30,MTGO Challenge (2025-11-30),Challenge,Challenge,mtgo,online,2025-11-30,2025,11,64
online-challenge-2025-11-29,MTGO Challenge (2025-11-29),Challenge,Challenge,mtgo,online,2025-11-29,2025,11,37
online-challenge-2025-11-28,MTGO Challenge (2025-11-28),Challenge,Challenge,mtgo,online,2025-11-28,2025,11,40
online-challenge-2025-11-27,MTGO Challenge (2025-11-27),Challenge,Challenge,mtgo,online,2025-11-27,2025,11,45
online-challenge-2025-11-23,MTGO Challenge (2025-11-23),Challenge,Challenge,mtgo,online,2025-11-23,2025,11,57
online-challenge-2025-11-22,MTGO Challenge (2025-11-22),Challenge,Challenge,mtgo,online,2025-11-22,2025,11,48
online-challenge-2025-11-21,MTGO Challenge (2025-11-21),Challenge,Challenge,mtgo,online,2025-11-21,2025,11,55
online-challenge-2025-11-20,MTGO Challenge (2025-11-20),Challenge,Challenge,mtgo,online,2025-11-20,2025,11,42
online-challenge-2025-11-16,MTGO Challenge (2025-11-16),Challenge,Challenge,mtgo,online,2025-11-16,2025,11,67
online-championship-week-finals-2025-11-15,MTGO Championship Week Finals (2025-11-15),Championship Week Finals,Championship Week Finals,mtgo,online,2025-11-15,2025,11,188
online-challenge-2025-11-14,MTGO Challenge (2025-11-14),Challenge,Challenge,mtgo,online,2025-11-14,2025,11,66
online-challenge-2025-11-13,MTGO Challenge (2025-11-13),Challenge,Challenge,mtgo,online,2025-11-13,2025,11,50
online-challenge-2025-11-12,MTGO Challenge (2025-11-12),Challenge,Challenge,mtgo,online,2025-11-12,2025,11,32
